Public ID,Organization,SystemType,SystemName,Model,Model MLC,Scenario,Result,number_of_nodes,host_processor_model_name,host_processors_per_node,accelerator_model_name,accelerators_per_node,Software,operating_system,notes,version,date,vdate,Units,Total Accelerators
2.1-0011,Dell,edge,Dell PowerEdge XR12 (1x A2; MaxQ; TensorRT),ResNet,ResNet,Single Stream,1.088643,1.0,Intel(R) Xeon(R) Gold 6312U CPU @ 2.40GHz,1.0,NVIDIA A2,1.0,TensorRT 8.4.2; CUDA 11.6,,,v2.1,9/8/2022,Inference v2.1,latency in ms,1.0
2.1-0011,Dell,edge,Dell PowerEdge XR12 (1x A2; MaxQ; TensorRT),ResNet,ResNet,Single Stream,0.2682116017,1.0,Intel(R) Xeon(R) Gold 6312U CPU @ 2.40GHz,1.0,NVIDIA A2,1.0,TensorRT 8.4.2; CUDA 11.6,,,v2.1,9/8/2022,Inference v2.1,System energy (J) per stream*,1.0
2.1-0011,Dell,edge,Dell PowerEdge XR12 (1x A2; MaxQ; TensorRT),ResNet,ResNet,Multi Stream,3.447751,1.0,Intel(R) Xeon(R) Gold 6312U CPU @ 2.40GHz,1.0,NVIDIA A2,1.0,TensorRT 8.4.2; CUDA 11.6,,,v2.1,9/8/2022,Inference v2.1,latency in ms,1.0
2.1-0011,Dell,edge,Dell PowerEdge XR12 (1x A2; MaxQ; TensorRT),ResNet,ResNet,Multi Stream,0.8944282242,1.0,Intel(R) Xeon(R) Gold 6312U CPU @ 2.40GHz,1.0,NVIDIA A2,1.0,TensorRT 8.4.2; CUDA 11.6,,,v2.1,9/8/2022,Inference v2.1,System energy (J) per stream*,1.0
2.1-0011,Dell,edge,Dell PowerEdge XR12 (1x A2; MaxQ; TensorRT),ResNet,ResNet,Offline,3091.84,1.0,Intel(R) Xeon(R) Gold 6312U CPU @ 2.40GHz,1.0,NVIDIA A2,1.0,TensorRT 8.4.2; CUDA 11.6,,,v2.1,9/8/2022,Inference v2.1,samples/s,1.0
2.1-0011,Dell,edge,Dell PowerEdge XR12 (1x A2; MaxQ; TensorRT),ResNet,ResNet,Offline,266.9385801,1.0,Intel(R) Xeon(R) Gold 6312U CPU @ 2.40GHz,1.0,NVIDIA A2,1.0,TensorRT 8.4.2; CUDA 11.6,,,v2.1,9/8/2022,Inference v2.1,System Power (W),1.0
2.1-0011,Dell,edge,Dell PowerEdge XR12 (1x A2; MaxQ; TensorRT),RNN-T,RNN-T,Single Stream,102.98337,1.0,Intel(R) Xeon(R) Gold 6312U CPU @ 2.40GHz,1.0,NVIDIA A2,1.0,TensorRT 8.4.2; CUDA 11.6,,,v2.1,9/8/2022,Inference v2.1,latency in ms,1.0
2.1-0011,Dell,edge,Dell PowerEdge XR12 (1x A2; MaxQ; TensorRT),RNN-T,RNN-T,Single Stream,17.25380628,1.0,Intel(R) Xeon(R) Gold 6312U CPU @ 2.40GHz,1.0,NVIDIA A2,1.0,TensorRT 8.4.2; CUDA 11.6,,,v2.1,9/8/2022,Inference v2.1,System energy (J) per stream*,1.0
2.1-0011,Dell,edge,Dell PowerEdge XR12 (1x A2; MaxQ; TensorRT),RNN-T,RNN-T,Offline,1166.32,1.0,Intel(R) Xeon(R) Gold 6312U CPU @ 2.40GHz,1.0,NVIDIA A2,1.0,TensorRT 8.4.2; CUDA 11.6,,,v2.1,9/8/2022,Inference v2.1,samples/s,1.0
2.1-0011,Dell,edge,Dell PowerEdge XR12 (1x A2; MaxQ; TensorRT),RNN-T,RNN-T,Offline,292.9018433,1.0,Intel(R) Xeon(R) Gold 6312U CPU @ 2.40GHz,1.0,NVIDIA A2,1.0,TensorRT 8.4.2; CUDA 11.6,,,v2.1,9/8/2022,Inference v2.1,System Power (W),1.0
