Public ID,Organization,SystemType,SystemName,Model,Model MLC,Scenario,Result,number_of_nodes,host_processor_model_name,host_processors_per_node,accelerator_model_name,accelerators_per_node,Software,operating_system,notes,version,date,vdate,Units,Total Accelerators
2.0-020,Dell,datacenter,Dell PowerEdge XE8545 (4x A100-SXM-80GB; MaxQ; TensorRT),ResNet,ResNet,Server,117002,1.0,AMD EPYC 7763,2.0,NVIDIA A100-SXM-80GB,4.0,TensorRT 8.4.0; CUDA 11.6,,500W A100-SXM-80GB,v2.0,4/27/2022,Inference v2.0,queries/s,4.0
2.0-020,Dell,datacenter,Dell PowerEdge XE8545 (4x A100-SXM-80GB; MaxQ; TensorRT),ResNet,ResNet,Server,1413.775,1.0,AMD EPYC 7763,2.0,NVIDIA A100-SXM-80GB,4.0,TensorRT 8.4.0; CUDA 11.6,,500W A100-SXM-80GB,v2.0,4/27/2022,Inference v2.0,System Power (W),4.0
2.0-020,Dell,datacenter,Dell PowerEdge XE8545 (4x A100-SXM-80GB; MaxQ; TensorRT),ResNet,ResNet,Offline,126205,1.0,AMD EPYC 7763,2.0,NVIDIA A100-SXM-80GB,4.0,TensorRT 8.4.0; CUDA 11.6,,500W A100-SXM-80GB,v2.0,4/27/2022,Inference v2.0,samples/s,4.0
2.0-020,Dell,datacenter,Dell PowerEdge XE8545 (4x A100-SXM-80GB; MaxQ; TensorRT),ResNet,ResNet,Offline,1385.60906,1.0,AMD EPYC 7763,2.0,NVIDIA A100-SXM-80GB,4.0,TensorRT 8.4.0; CUDA 11.6,,500W A100-SXM-80GB,v2.0,4/27/2022,Inference v2.0,System Power (W),4.0
2.0-022,Dell,datacenter,Dell PowerEdge XR12 (1x A2; MaxQ; TensorRT),ResNet,ResNet,Server,2342.3,1.0,Intel(R) Xeon(R) Gold 6312U CPU @ 2.40GHz,1.0,NVIDIA A2,1.0,TensorRT 8.4.0; CUDA 11.6,,,v2.0,4/27/2022,Inference v2.0,queries/s,1.0
2.0-022,Dell,datacenter,Dell PowerEdge XR12 (1x A2; MaxQ; TensorRT),ResNet,ResNet,Server,230.2302333,1.0,Intel(R) Xeon(R) Gold 6312U CPU @ 2.40GHz,1.0,NVIDIA A2,1.0,TensorRT 8.4.0; CUDA 11.6,,,v2.0,4/27/2022,Inference v2.0,System Power (W),1.0
2.0-022,Dell,datacenter,Dell PowerEdge XR12 (1x A2; MaxQ; TensorRT),ResNet,ResNet,Offline,3012.76,1.0,Intel(R) Xeon(R) Gold 6312U CPU @ 2.40GHz,1.0,NVIDIA A2,1.0,TensorRT 8.4.0; CUDA 11.6,,,v2.0,4/27/2022,Inference v2.0,samples/s,1.0
2.0-022,Dell,datacenter,Dell PowerEdge XR12 (1x A2; MaxQ; TensorRT),ResNet,ResNet,Offline,281.1463444,1.0,Intel(R) Xeon(R) Gold 6312U CPU @ 2.40GHz,1.0,NVIDIA A2,1.0,TensorRT 8.4.0; CUDA 11.6,,,v2.0,4/27/2022,Inference v2.0,System Power (W),1.0
2.0-022,Dell,datacenter,Dell PowerEdge XR12 (1x A2; MaxQ; TensorRT),RNN-T,RNN-T,Server,652.49,1.0,Intel(R) Xeon(R) Gold 6312U CPU @ 2.40GHz,1.0,NVIDIA A2,1.0,TensorRT 8.4.0; CUDA 11.6,,,v2.0,4/27/2022,Inference v2.0,queries/s,1.0
2.0-022,Dell,datacenter,Dell PowerEdge XR12 (1x A2; MaxQ; TensorRT),RNN-T,RNN-T,Server,305.5364725,1.0,Intel(R) Xeon(R) Gold 6312U CPU @ 2.40GHz,1.0,NVIDIA A2,1.0,TensorRT 8.4.0; CUDA 11.6,,,v2.0,4/27/2022,Inference v2.0,System Power (W),1.0
